"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_lob","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_ab_scoring","b_ball","b_called_strike","b_catcher_interf","b_foul","b_foul_tip","b_game","b_gnd_into_dp","b_gnd_into_tp","b_gnd_rule_double","b_hit_by_pitch","b_hit_ground","b_hit_fly","b_hit_into_play","b_hit_line_drive","b_hit_popup","b_out_fly","b_out_ground","b_out_line_drive","b_out_popup","b_intent_ball","b_intent_walk","b_interference","b_pinch_hit","b_pinch_run","b_pitchout","b_played_dh","b_sac_bunt","b_sac_fly","b_swinging_strike","r_caught_stealing_2b","r_caught_stealing_3b","r_caught_stealing_home","r_defensive_indiff","r_interference","r_pickoff_1b","r_pickoff_2b","r_pickoff_3b","r_run","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_home","b_total_ball","b_total_sacrifices","b_total_strike","b_total_swinging_strike","b_total_pitches","r_stolen_base_pct","r_total_pickoff","b_reached_on_error","b_walkoff","b_reached_on_int","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","meatball_swing_percent","meatball_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","batted_ball","f_strike_percent","groundballs_percent","groundballs","flyballs_percent","flyballs","linedrives_percent","linedrives","popups_percent","popups"
"McLain, Matt",680574,2026,26,127,147,24,16,6,0,2,37,18,25.2,12.2,".189",".283",".299","0.582","0.094",".250","9","65","36","2","5","31","197","118","0","93","6","36","3","0","0","2","8","6","90","9","1","23","26","6","11","0","0","0","0","1","0","0","0","0","55","2","0","0","1","0","0","0","0","13","3","2","0","214","0","364","55","578",,"0","0","0","0",".219",".356",".275",".309",".326",".137",".292",".347",".267",".309","-0.030","-0.073","-0.034","71.7",12.4,9.5,7.4,32,24.9,"6.9",4,10.2,1.6,59.9,31.1,"87.7","20.6",33.3,7,7.9,3.3,27.8,36.7,21.1,2.2,30,"97.468874889","92.912644045",62.2,17.3,23.1,44.8,55.2,30,67,50.2,290,67.5,6.9,51,325,202,578,82.7,31,179,49.8,288,40.1,232,24.8,42.6,34.4,38.9,26.7,90,63.9,37.8,34,32.2,29,16.7,15,13.3,12
"Perdomo, Geraldo",672695,2026,26,106,129,26,16,5,3,2,16,19,12.4,14.7,".245",".406",".354","0.760","0.161",".267","11","45","43","3","6","26","206","117","0","93","3","31","5","0","1","0","8","2","94","16","0","15","40","7","4","0","0","0","1","0","0","0","2","2","21","3","0","0","1","0","0","0","0","13","6","0","0","221","4","335","21","556",,"0","0","0","0",".245",".333",".341",".325",".365",".088",".324",".302",".283",".296",".000",".073",".016","65.7",0,9.6,8.5,37.2,33,"6.8",4,6.8,0.3,52.3,36.7,"86.6","10.2",34,3,3.2,4.3,24.5,18.1,41.5,7.4,29.8,"96.822309556","92.532391011",57.7,7,21.3,21.7,78.3,13,60,50.7,282,62.2,8.1,98,327,131,556,93,11,158,49.3,274,40.3,224,11,39.2,44.7,40.4,14.9,94,58.9,51.1,48,18.1,17,26.6,25,4.3,4
"Reynolds, Bryan",668804,2026,31,127,160,32,21,5,2,4,43,30,26.9,18.8,".252",".417",".400","0.817","0.165",".346","22","53","53","0","1","38","256","112","0","106","8","36","1","0","0","2","11","7","85","14","0","14","32","5","2","0","2","0","1","0","0","4","0","1","72","0","0","0","1","0","0","0","0","26","1","0","0","278","1","389","72","667",,"0","1","0","0",".233",".405",".368",".353",".385",".172",".434",".406",".376",".348",".019",".012",".015","72.7",27.7,13.6,9.9,27.8,20.2,"7",11,10.1,2.8,43,38.7,"91.5","7.2",31.8,8,9.4,4.7,25.9,18.8,40,1.2,43.5,"101.694097907","95.172337882",64.2,16.8,23.5,62.1,37.9,54,87,55.6,371,75.7,5.5,124,330,213,667,83.2,32,190,44.4,296,42,280,31,41.5,45.9,29.4,24.7,85,67.9,50.6,43,24.7,21,22.4,19,2.4,2
"Jeffers, Ryan",680777,2026,29,91,110,26,18,3,1,4,19,16,17.3,14.5,".286",".473",".394","0.867","0.187",".314","21","29","43","0","1","24","175","99","0","85","4","27","1","0","0","1","5","5","74","15","1","22","17","1","8","0","0","0","0","0","0","3","0","1","30","0","0","0","0","0","0","0","0","18","1","0","0","188","1","292","30","480",,"0","2","0","0",".254",".465",".382",".377",".374",".211",".405",".397",".351",".326",".032",".008",".005","73.5",41.3,15.3,12.8,29.9,25,"7.2",5,8.8,-1.7,51.7,29.2,"91.1","22.6",36.5,11,14.9,6.8,17.6,35.1,21.6,4.1,40.5,"102.038311622","95.442284054",58.6,10.8,24.4,31.7,68.3,20,63,53.8,258,68.2,9.2,80,259,141,480,89.2,14,130,46.3,222,42.5,204,17.6,40.2,39.2,33.8,27,74,65.5,29.7,22,36.5,27,21.6,16,12.2,9
"Hoskins, Rhys",656555,2026,33,82,102,17,8,6,0,3,28,18,27.5,17.6,".207",".390",".353","0.743","0.183",".269","13","36","32","0","0","18","180","73","0","74","6","28","3","0","0","1","3","6","55","8","0","13","17","2","6","0","0","0","5","0","0","7","0","1","48","0","0","0","0","0","0","0","0","15","0","0","0","189","1","257","48","446",,"0","0","0","0",".188",".317",".339",".309",".340",".129",".384",".329",".309",".284",".019",".073",".030","72.6",19.3,13.6,9.9,29.7,21.7,"8.3",2,15.6,-4.2,58.4,32.5,"89.1","21.9",36.4,6,10.9,7.3,23.6,30.9,21.8,5.5,47.3,"100.023056786","94.542939636",64.7,28.8,21.5,32.7,67.3,17,52,54.3,242,68.4,4.3,44,263,139,446,71.2,38,132,45.7,204,43.9,196,29.9,41.3,49.1,25.5,25.5,55,56.9,36.4,20,34.5,19,18.2,10,10.9,6
"McGonigle, Kevin",805808,2026,21,133,154,41,26,11,2,2,20,20,13,13,".308",".466",".403","0.869","0.158",".351","16","39","62","0","4","25","247","98","0","124","3","35","0","0","1","1","11","7","113","23","0","34","21","9","8","0","0","0","0","0","0","0","0","0","32","0","0","0","1","0","0","0","0","25","4","0","0","266","0","371","32","637",,"0","1","0","0",".293",".525",".388",".397",".389",".232",".397",".409",".363",".345",".015","-0.059","-0.009","71.4",19.8,12.5,11.2,35.6,31.8,"6.9",7,16.5,-2.1,51.2,37.8,"88.5","20.6",44.2,14,12.4,8,22.1,33.6,18.6,5.3,38.1,"99.065633333","93.825095575",67.5,9.7,20.2,23.9,76.1,16,67,52.1,332,77.3,6.9,105,333,199,637,90.3,20,206,47.9,305,44.4,283,13.2,42.9,39.8,36.3,23.9,113,50.6,28.3,32,36.3,41,28.3,32,7.1,8
"Carter, Evan",694497,2026,23,103,126,18,10,5,0,3,29,18,23,14.3,".175",".311",".301","0.612","0.136",".208","9","51","32","0","5","24","183","115","0","75","4","35","0","0","0","1","5","3","78","10","0","24","19","8","9","0","0","0","4","0","0","0","3","1","49","0","0","0","0","0","0","0","0","12","5","0","0","193","4","323","49","516",,"0","0","0","0",".210",".357",".285",".311",".330",".147",".289",".331",".240",".289","-0.035","-0.046","-0.026","70.2",14.4,8.9,6.6,32.3,24,"7",5,6.3,-4.7,43.1,31.8,"87.8","22.5",37.2,6,7.7,9,19.2,34.6,19.2,10.3,37.2,"98.605917838","93.372021622",58.8,15.9,20.5,54.9,45.1,28,51,48.3,249,73.7,7.4,84,287,145,516,84.1,25,157,51.7,267,44,227,25.5,40.3,34.6,42.3,23.1,78,62.7,30.8,24,34.6,27,23.1,18,11.5,9
"Manzardo, Kyle",700932,2026,25,99,111,20,16,2,0,2,36,9,32.4,8.1,".202",".283",".279","0.562","0.081",".290","10","54","28","0","0","28","164","70","0","84","4","32","4","0","0","2","4","4","64","12","0","12","21","3","8","0","0","0","4","0","0","7","0","1","64","0","0","0","0","0","0","0","0","6","0","0","0","175","1","291","64","466",,"0","0","0","0",".215",".348",".261",".285",".291",".133",".330",".371",".313",".332","-0.013","-0.065","-0.024","70.5",12.8,9.8,6.9,32.3,22.9,"7.8",4,17,-0.5,51.1,37.7,"89","18.1",37.5,6,9.4,1.6,31.3,28.1,23.4,6.3,34.4,"97.861145625","93.230621905",67.1,22.8,29.3,52.8,47.2,38,72,53.2,246,74.2,6.7,76,255,130,466,77.2,33,145,46.8,216,42,194,33,47.4,46.9,39.1,14.1,64,57.7,39.1,25,25,16,23.4,15,12.5,8
"Varsho, Daulton",662139,2026,29,118,131,28,17,7,0,4,23,11,17.6,8.4,".237",".398",".313","0.711","0.161",".264","9","39","47","0","2","17","145","50","0","109","8","34","0","0","1","2","7","3","95","18","0","19","28","11","9","0","2","0","0","1","0","1","0","0","44","0","0","0","0","0","0","0","0","15","2","0","0","151","0","308","44","459",,"0","0","0","0",".254",".379",".313",".310",".328",".125",".343",".338",".295",".316","-0.017",".019",".003","73.1",30,10.1,7.8,23.1,18,"7.6",0,9.1,-1.4,56.7,27.5,"85.7","16.3",35.8,6,6.3,3.2,25.3,29.5,29.5,6.3,35.8,"98.418850426","93.209425213",78.8,14.3,35,33.7,66.3,28,83,51.6,237,81.3,7,46,252,160,459,85.7,25,175,48.4,222,41,188,20.5,56.2,40,33.7,26.3,95,66.7,36.8,35,23.2,22,30.5,29,9.5,9
"Neto, Zach",687263,2026,25,147,171,32,18,8,0,6,55,22,32.2,12.9,".218",".395",".327","0.722","0.177",".302","16","57","58","3","7","33","243","96","0","146","7","37","0","0","1","2","5","11","92","16","0","24","24","6","6","0","1","0","0","0","0","0","0","0","96","3","0","0","0","0","2","0","0","24","5","2","0","259","0","442","96","701",,"2","1","0","0",".210",".389",".325",".315",".321",".179",".423",".405",".348",".335",".008",".006",".010","70",5.6,9.5,6.6,27.1,18.9,"7",7,22.6,-6.9,33.8,40.3,"88.9","22.4",35.9,10,10.9,6.5,21.7,33.7,21.7,5.4,35.9,"98.615463478","93.562465055",71.1,18.6,31.3,53.3,46.7,64,120,54.6,383,85.4,6.8,89,332,280,701,81.4,42,226,45.4,318,38.2,268,30.6,49.4,47.8,32.6,19.6,92,62.9,31.5,29,38,35,23.9,22,6.5,6
